|batsman|venue|final_score_bat|matches
263|AF Milne|M Chinnaswamy Stadium|-0.000749999999999984|1
264|AF Milne|Maharashtra Cricket Association Stadium|0.22425|1
265|AF Milne|Wankhede Stadium|-0.15074999999999997|1
266|AG Murtaza|M Chinnaswamy Stadium|0.5257499999999999|1
267|AG Murtaza|Sawai Mansingh Stadium|0.30074999999999996|1
268|AG Murtaza|Subrata Roy Sahara Stadium|0.37575|1
269|AG Paunikar|Eden Gardens|2.9699999999999993|1
270|AG Paunikar|Rajiv Gandhi International Stadium, Uppal|3.3449999999999993|1
271|AG Paunikar|Sawai Mansingh Stadium|2.1952499999999997|1
272|AJ Finch|Dr DY Patil Sports Academy|9.110999999999999|1
273|AJ Finch|Dubai International Cricket Stadium|31.644249999999996|2
274|AJ Finch|Eden Gardens|8.975999999999999|1
275|AJ Finch|Feroz Shah Kotla|25.619749999999996|2
276|AJ Finch|Green Park|9.054749999999999|1
277|AJ Finch|Holkar Cricket Stadium|22.133999999999997|1
278|AJ Finch|JSCA International Stadium Complex|9.298499999999999|1
279|AJ Finch|M Chinnaswamy Stadium|9.348749999999999|1
280|AJ Finch|M.Chinnaswamy Stadium|16.883999999999997|1
281|AJ Finch|MA Chidambaram Stadium, Chepauk|12.261|1
282|AJ Finch|Maharashtra Cricket Association Stadium|25.794999999999995|2
283|AJ Finch|Punjab Cricket Association IS Bindra Stadium, Mohali|28.194999999999997|2
284|AJ Finch|Punjab Cricket Association Stadium, Mohali|12.036|1
285|AJ Finch|Rajiv Gandhi International Stadium, Uppal|27.244999999999994|2
286|AJ Finch|Sardar Patel Stadium, Motera|7.948499999999999|1
287|AJ Finch|Saurashtra Cricket Association Stadium|8.501999999999999|1
288|AJ Finch|Sawai Mansingh Stadium|9.335999999999999|1
289|AJ Finch|Shaheed Veer Narayan Singh International Stadium|10.011|1
290|AJ Finch|Sharjah Cricket Stadium|32.345|2
291|AJ Finch|Sheikh Zayed Stadium|27.537249999999997|2
292|AJ Finch|Subrata Roy Sahara Stadium|9.132749999999998|1
293|AJ Finch|Wankhede Stadium|34.044999999999995|2
294|AJ Turner|Punjab Cricket Association IS Bindra Stadium, Mohali|-1.9687499999999998|1
295|AJ Turner|Sawai Mansingh Stadium|-1.79375|1
296|AJ Tye|Feroz Shah Kotla|4.856249999999999|1
297|AJ Tye|Holkar Cricket Stadium|5.5562499999999995|1
298|AJ Tye|M.Chinnaswamy Stadium|5.5562499999999995|1
299|AJ Tye|Maharashtra Cricket Association Stadium|4.33125|1
300|AJ Tye|Punjab Cricket Association IS Bindra Stadium, Mohali|4.59375|1
301|AJ Tye|Rajiv Gandhi International Stadium, Uppal|5.03125|1
302|AJ Tye|Saurashtra Cricket Association Stadium|3.1815|1
303|AJ Tye|Sawai Mansingh Stadium|4.50625|1
304|AJ Tye|Sharjah Cricket Stadium|5.38125|1
305|AL Menaria|Eden Gardens|5.491499999999999|1
306|AL Menaria|Feroz Shah Kotla|4.741499999999999|1
307|AL Menaria|Holkar Cricket Stadium|6.991499999999999|1
308|AL Menaria|MA Chidambaram Stadium, Chepauk|6.0915|1
309|AL Menaria|Punjab Cricket Association Stadium, Mohali|7.2165|1
310|AL Menaria|Rajiv Gandhi International Stadium, Uppal|6.1665|1
311|AL Menaria|Sawai Mansingh Stadium|5.81025|1
312|AL Menaria|Subrata Roy Sahara Stadium|6.0165|1
313|AL Menaria|Wankhede Stadium|6.1665|1
314|AM Nayar|Buffalo Park|4.5645|1
315|AM Nayar|Dr DY Patil Sports Academy|4.87725|1
316|AM Nayar|Dubai International Cricket Stadium|3.8895|1
317|AM Nayar|Eden Gardens|3.5145|1
318|AM Nayar|Feroz Shah Kotla|4.1895|1
319|AM Nayar|Himachal Pradesh Cricket Association Stadium|3.7394999999999996|1
320|AM Nayar|Kingsmead|5.0145|1
321|AM Nayar|M Chinnaswamy Stadium|3.8145|1
322|AM Nayar|MA Chidambaram Stadium, Chepauk|5.202|1
323|AM Nayar|New Wanderers Stadium|5.6895|1
324|AM Nayar|Newlands|6.1395|1
325|AM Nayar|Punjab Cricket Association Stadium, Mohali|3.7244999999999995|1
326|AM Nayar|Rajiv Gandhi International Stadium, Uppal|5.26425|1
327|AM Nayar|Sawai Mansingh Stadium|4.827|1
328|AM Nayar|Sharjah Cricket Stadium|5.2395|1
329|AM Nayar|Sheikh Zayed Stadium|4.077|1
330|AM Nayar|St George's Park|4.8645|1
331|AM Nayar|Subrata Roy Sahara Stadium|4.302|1
332|AM Nayar|SuperSport Park|3.702|1
333|AM Nayar|Wankhede Stadium|4.77075|1
334|AM Rahane|Brabourne Stadium|11.362499999999999|1
335|AM Rahane|Buffalo Park|8.787749999999999|1
336|AM Rahane|Dr DY Patil Sports Academy|7.96275|1
337|AM Rahane|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|10.269|1
338|AM Rahane|Dubai International Cricket Stadium|28.98|2
339|AM Rahane|Eden Gardens|32.589749999999995|2
340|AM Rahane|Feroz Shah Kotla|29.5925|2
341|AM Rahane|Holkar Cricket Stadium|28.43|2
342|AM Rahane|JSCA International Stadium Complex|8.26275|1
343|AM Rahane|Kingsmead|8.18775|1
344|AM Rahane|M Chinnaswamy Stadium|11.63775|1
345|AM Rahane|M.Chinnaswamy Stadium|24.87975|1
346|AM Rahane|MA Chidambaram Stadium, Chepauk|27.630000000000003|2
347|AM Rahane|Maharashtra Cricket Association Stadium|31.581249999999997|2
348|AM Rahane|New Wanderers Stadium|7.96275|1
349|AM Rahane|Punjab Cricket Association IS Bindra Stadium, Mohali|31.767500000000002|2
350|AM Rahane|Punjab Cricket Association Stadium, Mohali|10.13775|1
351|AM Rahane|Rajiv Gandhi International Stadium, Uppal|35.065|2
352|AM Rahane|Sardar Patel Stadium, Motera|11.26275|1
353|AM Rahane|Saurashtra Cricket Association Stadium|8.75025|1
354|AM Rahane|Sawai Mansingh Stadium|34.429249999999996|2
355|AM Rahane|Sharjah Cricket Stadium|28.917499999999997|2
356|AM Rahane|Sheikh Zayed Stadium|34.767250000000004|2
357|AM Rahane|St George's Park|12.61275|1
358|AM Rahane|Subrata Roy Sahara Stadium|9.08775|1
359|AM Rahane|SuperSport Park|10.10025|1
360|AM Rahane|Wankhede Stadium|35.76775|2
361|AN Ahmed|Eden Gardens|2.4382499999999996|1
362|AN Ahmed|JSCA International Stadium Complex|2.36325|1
363|AN Ahmed|M Chinnaswamy Stadium|2.2507499999999996|1
364|AN Ahmed|MA Chidambaram Stadium, Chepauk|2.8882499999999998|1
365|AN Ghosh|St George's Park|0.0|1
366|AN Ghosh|SuperSport Park|0.525|1
367|AP Dole|Sawai Mansingh Stadium|7.6499999999999995|1
368|AP Dole|Vidarbha Cricket Association Stadium, Jamtha|5.7|1
369|AP Majumdar|Sawai Mansingh Stadium|6.3|1
370|AP Majumdar|Subrata Roy Sahara Stadium|7.574999999999999|1
371|AP Tare|Barabati Stadium|3.444|1
372|AP Tare|Brabourne Stadium|4.09425|1
373|AP Tare|Dubai International Cricket Stadium|4.46925|1
374|AP Tare|Eden Gardens|4.10025|1
375|AP Tare|Feroz Shah Kotla|4.194|1
376|AP Tare|Himachal Pradesh Cricket Association Stadium|4.944|1
377|AP Tare|M.Chinnaswamy Stadium|4.644|1
378|AP Tare|Maharashtra Cricket Association Stadium|3.294|1
379|AP Tare|Rajiv Gandhi International Stadium, Uppal|3.594|1
380|AP Tare|Sharjah Cricket Stadium|3.894|1
381|AP Tare|Sheikh Zayed Stadium|5.094|1
382|AP Tare|Wankhede Stadium|4.4835|1
383|AR Bawne|Eden Gardens|3.8249999999999997|1
384|AR Patel|Barabati Stadium|3.42525|1
385|AR Patel|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.505|2
386|AR Patel|Dubai International Cricket Stadium|10.09225|1
387|AR Patel|Eden Gardens|3.9255|1
388|AR Patel|Feroz Shah Kotla|15.616|2
389|AR Patel|Holkar Cricket Stadium|14.061|2
390|AR Patel|M Chinnaswamy Stadium|5.094|1
391|AR Patel|M.Chinnaswamy Stadium|8.34225|1
392|AR Patel|MA Chidambaram Stadium, Chepauk|13.417499999999999|2
393|AR Patel|Maharashtra Cricket Association Stadium|14.761249999999999|2
394|AR Patel|Punjab Cricket Association IS Bindra Stadium, Mohali|3.93975|1
395|AR Patel|Punjab Cricket Association Stadium, Mohali|4.47525|1
396|AR Patel|Rajiv Gandhi International Stadium, Uppal|15.067249999999998|2
397|AR Patel|Sardar Patel Stadium, Motera|4.25025|1
398|AR Patel|Saurashtra Cricket Association Stadium|4.62525|1
399|AR Patel|Sawai Mansingh Stadium|9.392249999999999|1
400|AR Patel|Sharjah Cricket Stadium|11.142249999999999|1
401|AR Patel|Sheikh Zayed Stadium|12.729999999999999|2
402|AR Patel|Wankhede Stadium|13.817499999999999|2
403|AS Joseph|Wankhede Stadium|7.0874999999999995|1
404|AS Rajpoot|Dubai International Cricket Stadium|1.6449999999999996|1
405|AS Rajpoot|Holkar Cricket Stadium|0.5949999999999999|1
406|AS Rajpoot|M Chinnaswamy Stadium|0.4799999999999999|1
407|AS Rajpoot|MA Chidambaram Stadium, Chepauk|0.32999999999999996|1
408|AS Rajpoot|Maharashtra Cricket Association Stadium|0.7699999999999999|1
409|AS Rajpoot|Rajiv Gandhi International Stadium, Uppal|1.8199999999999996|1
410|AS Rajpoot|Sheikh Zayed Stadium|0.7699999999999999|1
411|AS Raut|De Beers Diamond Oval|3.477|1
412|AS Raut|Eden Gardens|3.6645|1
413|AS Raut|Kingsmead|3.252|1
414|AS Raut|MA Chidambaram Stadium, Chepauk|3.327|1
415|AS Raut|Newlands|4.002|1
416|AS Raut|OUTsurance Oval|4.002|1
417|AS Raut|Punjab Cricket Association Stadium, Mohali|5.052|1
418|AS Raut|Sawai Mansingh Stadium|4.601999999999999|1
419|AS Raut|St George's Park|5.877|1
420|AS Raut|Vidarbha Cricket Association Stadium, Jamtha|3.177|1
421|AS Yadav|Eden Gardens|2.92575|1
422|AS Yadav|M Chinnaswamy Stadium|2.40075|1
423|AS Yadav|Rajiv Gandhi International Stadium, Uppal|2.8507499999999997|1
424|AT Rayudu|Barabati Stadium|9.0225|1
425|AT Rayudu|Brabourne Stadium|8.39775|1
426|AT Rayudu|Dr DY Patil Sports Academy|8.31|1
427|AT Rayudu|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|26.0375|2
428|AT Rayudu|Dubai International Cricket Stadium|29.480249999999998|2
429|AT Rayudu|Eden Gardens|26.06875|2
430|AT Rayudu|Feroz Shah Kotla|28.5875|2
431|AT Rayudu|Himachal Pradesh Cricket Association Stadium|8.4975|1
432|AT Rayudu|M Chinnaswamy Stadium|9.069|1
433|AT Rayudu|M.Chinnaswamy Stadium|24.990000000000002|1
434|AT Rayudu|MA Chidambaram Stadium, Chepauk|26.216500000000003|2
435|AT Rayudu|Maharashtra Cricket Association Stadium|29.792250000000003|2
