|bowler|venue|final_score_ball|matches
41|A Mishra|Eden Gardens|7.247249999999999|1
42|A Mishra|Feroz Shah Kotla|29.3825|2
43|A Mishra|Green Park|8.0535|1
44|A Mishra|Himachal Pradesh Cricket Association Stadium|13.6785|1
45|A Mishra|Kingsmead|6.1785|1
46|A Mishra|M Chinnaswamy Stadium|8.0535|1
47|A Mishra|M.Chinnaswamy Stadium|6.1785|1
48|A Mishra|MA Chidambaram Stadium, Chepauk|23.22|2
49|A Mishra|Maharashtra Cricket Association Stadium|28.72|2
50|A Mishra|Nehru Stadium|8.0535|1
51|A Mishra|New Wanderers Stadium|8.991|1
52|A Mishra|OUTsurance Oval|11.8035|1
53|A Mishra|Punjab Cricket Association IS Bindra Stadium, Mohali|20.595|2
54|A Mishra|Punjab Cricket Association Stadium, Mohali|7.434749999999999|1
55|A Mishra|Rajiv Gandhi International Stadium, Uppal|27.388749999999998|2
56|A Mishra|Sardar Patel Stadium, Motera|8.0535|1
57|A Mishra|Saurashtra Cricket Association Stadium|8.0535|1
58|A Mishra|Sawai Mansingh Stadium|23.726249999999997|2
59|A Mishra|Shaheed Veer Narayan Singh International Stadium|6.797249999999999|1
60|A Mishra|Sharjah Cricket Stadium|26.845|2
61|A Mishra|Sheikh Zayed Stadium|33.095|2
62|A Mishra|St George's Park|8.0535|1
63|A Mishra|Subrata Roy Sahara Stadium|9.9285|1
64|A Mishra|SuperSport Park|9.45975|1
65|A Mishra|Wankhede Stadium|8.0535|1
66|A Mithun|Feroz Shah Kotla|5.273999999999999|1
67|A Mithun|Himachal Pradesh Cricket Association Stadium|2.4615|1
68|A Mithun|JSCA International Stadium Complex|4.3365|1
69|A Mithun|M Chinnaswamy Stadium|3.26775|1
70|A Mithun|MA Chidambaram Stadium, Chepauk|2.4615|1
71|A Mithun|Nehru Stadium|2.4615|1
72|A Mithun|St George's Park|2.4615|1
73|A Mithun|Wankhede Stadium|4.3365|1
74|A Nehra|Barabati Stadium|8.732999999999999|1
75|A Nehra|Brabourne Stadium|9.670499999999999|1
76|A Nehra|Buffalo Park|10.607999999999999|1
77|A Nehra|Dr DY Patil Sports Academy|10.607999999999999|1
78|A Nehra|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|14.357999999999999|1
79|A Nehra|Eden Gardens|7.983|1
80|A Nehra|Feroz Shah Kotla|8.732999999999999|1
81|A Nehra|Himachal Pradesh Cricket Association Stadium|10.607999999999999|1
82|A Nehra|JSCA International Stadium Complex|12.482999999999999|1
83|A Nehra|Kingsmead|9.35175|1
84|A Nehra|M Chinnaswamy Stadium|9.98925|1
85|A Nehra|MA Chidambaram Stadium, Chepauk|10.10175|1
86|A Nehra|New Wanderers Stadium|10.607999999999999|1
87|A Nehra|OUTsurance Oval|8.732999999999999|1
88|A Nehra|Punjab Cricket Association IS Bindra Stadium, Mohali|9.670499999999999|1
89|A Nehra|Punjab Cricket Association Stadium, Mohali|8.732999999999999|1
90|A Nehra|Rajiv Gandhi International Stadium, Uppal|8.732999999999999|1
91|A Nehra|Sardar Patel Stadium, Motera|6.858|1
92|A Nehra|Sawai Mansingh Stadium|10.607999999999999|1
93|A Nehra|Shaheed Veer Narayan Singh International Stadium|7.7955|1
94|A Nehra|Sheikh Zayed Stadium|8.732999999999999|1
95|A Nehra|St George's Park|12.482999999999999|1
96|A Nehra|Subrata Roy Sahara Stadium|8.18925|1
97|A Nehra|SuperSport Park|9.98925|1
98|A Nehra|Wankhede Stadium|9.1455|1
99|A Nel|Feroz Shah Kotla|6.825|1
100|A Singh|De Beers Diamond Oval|8.9175|1
101|A Singh|Eden Gardens|8.9175|1
102|A Singh|Feroz Shah Kotla|10.7925|1
103|A Singh|Kingsmead|10.7925|1
104|A Singh|M Chinnaswamy Stadium|10.7925|1
105|A Singh|MA Chidambaram Stadium, Chepauk|7.0425|1
106|A Singh|OUTsurance Oval|7.0425|1
107|A Singh|Rajiv Gandhi International Stadium, Uppal|12.6675|1
108|A Singh|Sawai Mansingh Stadium|8.9175|1
109|A Singh|SuperSport Park|14.5425|1
110|A Singh|Wankhede Stadium|9.855|1
111|A Symonds|Barabati Stadium|7.50075|1
112|A Symonds|Brabourne Stadium|3.75075|1
113|A Symonds|De Beers Diamond Oval|3.75075|1
114|A Symonds|Dr DY Patil Sports Academy|4.12575|1
115|A Symonds|Eden Gardens|5.62575|1
116|A Symonds|Feroz Shah Kotla|3.75075|1
117|A Symonds|Himachal Pradesh Cricket Association Stadium|3.75075|1
118|A Symonds|Kingsmead|5.62575|1
119|A Symonds|M Chinnaswamy Stadium|5.62575|1
120|A Symonds|MA Chidambaram Stadium, Chepauk|7.50075|1
121|A Symonds|New Wanderers Stadium|7.50075|1
122|A Symonds|Rajiv Gandhi International Stadium, Uppal|3.75075|1
123|A Symonds|Sardar Patel Stadium, Motera|5.62575|1
124|A Symonds|SuperSport Park|5.62575|1
125|A Symonds|Vidarbha Cricket Association Stadium, Jamtha|5.007000000000001|1
126|A Symonds|Wankhede Stadium|4.68825|1
127|A Uniyal|Brabourne Stadium|10.575|1
128|A Uniyal|Sardar Patel Stadium, Motera|4.95|1
129|A Zampa|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|16.28775|1
130|A Zampa|Dubai International Cricket Stadium|27.811|1
131|A Zampa|Eden Gardens|10.044|1
132|A Zampa|Feroz Shah Kotla|11.919|1
133|A Zampa|M Chinnaswamy Stadium|13.794|1
134|A Zampa|Maharashtra Cricket Association Stadium|12.53775|1
135|A Zampa|Rajiv Gandhi International Stadium, Uppal|13.794|1
136|A Zampa|Sheikh Zayed Stadium|25.6235|1
137|A Zampa|Wankhede Stadium|10.044|1
138|AA Chavan|Eden Gardens|4.398|1
139|AA Chavan|Feroz Shah Kotla|5.3355|1
140|AA Chavan|Holkar Cricket Stadium|3.4605|1
141|AA Chavan|Punjab Cricket Association Stadium, Mohali|3.4605|1
142|AA Chavan|Sawai Mansingh Stadium|5.80425|1
143|AA Chavan|Subrata Roy Sahara Stadium|3.4605|1
144|AA Chavan|Wankhede Stadium|4.07925|1
145|AA Jhunjhunwala|Brabourne Stadium|0.5625|1
146|AA Jhunjhunwala|Dr DY Patil Sports Academy|0.5625|1
147|AA Jhunjhunwala|MA Chidambaram Stadium, Chepauk|1.5|1
148|AA Jhunjhunwala|Punjab Cricket Association Stadium, Mohali|0.5625|1
149|AA Jhunjhunwala|Rajiv Gandhi International Stadium, Uppal|0.5625|1
150|AA Jhunjhunwala|Sardar Patel Stadium, Motera|0.5625|1
151|AA Jhunjhunwala|Sawai Mansingh Stadium|0.5625|1
152|AA Kazi|Sawai Mansingh Stadium|1.2|1
153|AA Noffke|M Chinnaswamy Stadium|7.5|1
154|AB Agarkar|Buffalo Park|5.7585|1
155|AB Agarkar|Eden Gardens|5.2147499999999996|1
156|AB Agarkar|Feroz Shah Kotla|4.821|1
157|AB Agarkar|Kingsmead|6.37725|1
158|AB Agarkar|M Chinnaswamy Stadium|6.696|1
159|AB Agarkar|MA Chidambaram Stadium, Chepauk|5.13975|1
160|AB Agarkar|Nehru Stadium|7.6335|1
161|AB Agarkar|New Wanderers Stadium|4.821|1
162|AB Agarkar|Newlands|3.8834999999999997|1
163|AB Agarkar|Punjab Cricket Association Stadium, Mohali|5.7585|1
164|AB Agarkar|Rajiv Gandhi International Stadium, Uppal|7.6335|1
165|AB Agarkar|Sawai Mansingh Stadium|4.821|1
166|AB Agarkar|St George's Park|5.7585|1
167|AB Agarkar|SuperSport Park|4.821|1
168|AB Agarkar|Wankhede Stadium|5.7585|1
169|AB Dinda|Buffalo Park|7.1827499999999995|1
170|AB Dinda|Dr DY Patil Sports Academy|9.057749999999999|1
171|AB Dinda|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|7.801499999999999|1
172|AB Dinda|Dubai International Cricket Stadium|7.1827499999999995|1
173|AB Dinda|Eden Gardens|7.332749999999999|1
174|AB Dinda|Feroz Shah Kotla|6.7139999999999995|1
175|AB Dinda|Holkar Cricket Stadium|7.1827499999999995|1
176|AB Dinda|Kingsmead|6.563999999999999|1
177|AB Dinda|M Chinnaswamy Stadium|7.407749999999999|1
178|AB Dinda|MA Chidambaram Stadium, Chepauk|6.563999999999999|1
179|AB Dinda|Maharashtra Cricket Association Stadium|7.6514999999999995|1
180|AB Dinda|Newlands|9.057749999999999|1
181|AB Dinda|Punjab Cricket Association Stadium, Mohali|6.2452499999999995|1
182|AB Dinda|Rajiv Gandhi International Stadium, Uppal|9.526499999999999|1
183|AB Dinda|Sardar Patel Stadium, Motera|9.057749999999999|1
184|AB Dinda|Sawai Mansingh Stadium|6.2452499999999995|1
185|AB Dinda|Shaheed Veer Narayan Singh International Stadium|10.932749999999999|1
186|AB Dinda|Sharjah Cricket Stadium|5.3077499999999995|1
187|AB Dinda|Sheikh Zayed Stadium|5.3077499999999995|1
188|AB Dinda|St George's Park|5.3077499999999995|1
189|AB Dinda|Subrata Roy Sahara Stadium|7.5577499999999995|1
190|AB Dinda|SuperSport Park|7.1827499999999995|1
191|AB Dinda|Wankhede Stadium|8.439|1
192|AB McDonald|Brabourne Stadium|8.0625|1
193|AB McDonald|Feroz Shah Kotla|9.0|1
194|AB McDonald|M Chinnaswamy Stadium|9.9375|1
195|AB McDonald|MA Chidambaram Stadium, Chepauk|6.1875|1
196|AB McDonald|New Wanderers Stadium|6.1875|1
197|AB McDonald|Punjab Cricket Association Stadium, Mohali|9.9375|1
198|AC Gilchrist|Himachal Pradesh Cricket Association Stadium|8.85|1
199|AC Thomas|Dr DY Patil Sports Academy|7.165499999999999|1
200|AC Thomas|Feroz Shah Kotla|8.42175|1
201|AC Thomas|M Chinnaswamy Stadium|9.35925|1
202|AC Thomas|MA Chidambaram Stadium, Chepauk|9.35925|1
203|AC Thomas|Sawai Mansingh Stadium|7.484249999999999|1
204|AC Thomas|Subrata Roy Sahara Stadium|6.865499999999999|1
205|AC Thomas|Wankhede Stadium|7.484249999999999|1
206|AC Voges|Eden Gardens|0.0|1
207|AC Voges|Feroz Shah Kotla|0.0|1
208|AC Voges|Punjab Cricket Association Stadium, Mohali|0.0|1
209|AC Voges|Sardar Patel Stadium, Motera|0.61875|1
210|AC Voges|Sawai Mansingh Stadium|0.0|1
211|AD Mascarenhas|Brabourne Stadium|12.905249999999999|1
212|AD Mascarenhas|Eden Gardens|11.030249999999999|1
213|AD Mascarenhas|Newlands|11.649|1
214|AD Mascarenhas|Punjab Cricket Association Stadium, Mohali|13.842749999999999|1
215|AD Mascarenhas|Rajiv Gandhi International Stadium, Uppal|9.155249999999999|1
216|AD Mascarenhas|Sardar Patel Stadium, Motera|12.905249999999999|1
217|AD Mascarenhas|Sawai Mansingh Stadium|12.905249999999999|1
218|AD Mascarenhas|Subrata Roy Sahara Stadium|11.030249999999999|1
219|AD Mascarenhas|SuperSport Park|11.030249999999999|1
220|AD Mathews|Brabourne Stadium|4.4295|1
221|AD Mathews|Dr DY Patil Sports Academy|5.367|1
222|AD Mathews|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.367|1
223|AD Mathews|Eden Gardens|5.367|1
224|AD Mathews|Feroz Shah Kotla|4.2045|1
225|AD Mathews|JSCA International Stadium Complex|5.367|1
226|AD Mathews|M Chinnaswamy Stadium|5.367|1
227|AD Mathews|MA Chidambaram Stadium, Chepauk|3.492|1
228|AD Mathews|Maharashtra Cricket Association Stadium|5.367|1
229|AD Mathews|Punjab Cricket Association Stadium, Mohali|5.367|1
230|AD Mathews|Rajiv Gandhi International Stadium, Uppal|3.492|1
231|AD Mathews|Sardar Patel Stadium, Motera|3.492|1
232|AD Mathews|Sawai Mansingh Stadium|5.367|1
233|AD Mathews|Subrata Roy Sahara Stadium|4.74825|1
234|AD Mathews|SuperSport Park|3.492|1
235|AD Mathews|Wankhede Stadium|4.4295|1
236|AD Russell|Brabourne Stadium|10.72575|1
237|AD Russell|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|6.975750000000001|1
238|AD Russell|Eden Gardens|22.740000000000002|2
239|AD Russell|Feroz Shah Kotla|22.8775|2
240|AD Russell|Himachal Pradesh Cricket Association Stadium|6.975750000000001|1
241|AD Russell|Holkar Cricket Stadium|25.026749999999996|1
242|AD Russell|JSCA International Stadium Complex|6.975750000000001|1
243|AD Russell|M Chinnaswamy Stadium|6.975750000000001|1
244|AD Russell|M.Chinnaswamy Stadium|18.46425|1
245|AD Russell|MA Chidambaram Stadium, Chepauk|18.8775|2
246|AD Russell|Maharashtra Cricket Association Stadium|6.975750000000001|1
247|AD Russell|Punjab Cricket Association IS Bindra Stadium, Mohali|21.3775|2
248|AD Russell|Rajiv Gandhi International Stadium, Uppal|21.065|2
249|AD Russell|Sardar Patel Stadium, Motera|6.975750000000001|1
250|AD Russell|Sharjah Cricket Stadium|18.46425|1
251|AD Russell|Sheikh Zayed Stadium|15.40175|1
252|AD Russell|Wankhede Stadium|21.3775|2
253|AF Milne|M Chinnaswamy Stadium|8.25|1
254|AF Milne|Maharashtra Cricket Association Stadium|4.5|1
255|AF Milne|Saurashtra Cricket Association Stadium|6.375|1
256|AF Milne|Wankhede Stadium|4.5|1
257|AG Murtaza|Brabourne Stadium|7.96875|1
258|AG Murtaza|Eden Gardens|4.21875|1
259|AG Murtaza|Feroz Shah Kotla|9.84375|1
260|AG Murtaza|JSCA International Stadium Complex|4.21875|1
261|AG Murtaza|M Chinnaswamy Stadium|4.21875|1
262|AG Murtaza|Sawai Mansingh Stadium|4.21875|1
263|AG Murtaza|Subrata Roy Sahara Stadium|7.03125|1
264|AG Murtaza|Wankhede Stadium|6.09375|1
265|AJ Finch|Eden Gardens|1.125|1
266|AJ Finch|Feroz Shah Kotla|1.125|1
267|AJ Finch|M Chinnaswamy Stadium|1.125|1
268|AJ Finch|MA Chidambaram Stadium, Chepauk|1.125|1
269|AJ Finch|Wankhede Stadium|3.0|1
270|AJ Tye|Eden Gardens|27.0585|1
271|AJ Tye|Feroz Shah Kotla|29.246|1
272|AJ Tye|Holkar Cricket Stadium|29.246|1
273|AJ Tye|M Chinnaswamy Stadium|14.408999999999999|1
274|AJ Tye|M.Chinnaswamy Stadium|29.246|1
275|AJ Tye|MA Chidambaram Stadium, Chepauk|20.496|1
276|AJ Tye|Maharashtra Cricket Association Stadium|20.496|1
277|AJ Tye|Punjab Cricket Association IS Bindra Stadium, Mohali|24.871|1
278|AJ Tye|Rajiv Gandhi International Stadium, Uppal|20.496|1
279|AJ Tye|Saurashtra Cricket Association Stadium|12.06525|1
280|AJ Tye|Sawai Mansingh Stadium|42.370999999999995|1
281|AJ Tye|Sharjah Cricket Stadium|29.246|1
282|AJ Tye|Wankhede Stadium|50.529999999999994|2
283|AL Menaria|Eden Gardens|3.28125|1
284|AL Menaria|MA Chidambaram Stadium, Chepauk|1.40625|1
285|AL Menaria|Punjab Cricket Association Stadium, Mohali|1.40625|1
286|AL Menaria|Rajiv Gandhi International Stadium, Uppal|1.40625|1
287|AL Menaria|Sawai Mansingh Stadium|2.025|1
288|AL Menaria|Wankhede Stadium|1.40625|1
289|AM Nayar|Buffalo Park|4.539|1
290|AM Nayar|Dr DY Patil Sports Academy|3.6014999999999997|1
291|AM Nayar|Feroz Shah Kotla|4.539|1
292|AM Nayar|M Chinnaswamy Stadium|2.6639999999999997|1
293|AM Nayar|MA Chidambaram Stadium, Chepauk|3.6014999999999997|1
294|AM Nayar|New Wanderers Stadium|2.6639999999999997|1
295|AM Nayar|Punjab Cricket Association Stadium, Mohali|2.6639999999999997|1
296|AM Nayar|Rajiv Gandhi International Stadium, Uppal|3.6014999999999997|1
297|AM Nayar|Sawai Mansingh Stadium|2.6639999999999997|1
298|AM Nayar|Shaheed Veer Narayan Singh International Stadium|4.539|1
299|AM Nayar|St George's Park|8.289|1
300|AM Nayar|Subrata Roy Sahara Stadium|2.6639999999999997|1
301|AM Nayar|SuperSport Park|2.6639999999999997|1
302|AM Nayar|Wankhede Stadium|2.6639999999999997|1
303|AM Rahane|SuperSport Park|8.85|1
304|AM Salvi|Himachal Pradesh Cricket Association Stadium|9.375|1
305|AM Salvi|Kingsmead|5.625|1
306|AM Salvi|New Wanderers Stadium|5.625|1
307|AM Salvi|Newlands|7.5|1
308|AM Salvi|OUTsurance Oval|9.375|1
309|AM Salvi|Rajiv Gandhi International Stadium, Uppal|7.5|1
310|AM Salvi|SuperSport Park|7.5|1
311|AN Ahmed|Eden Gardens|7.260000000000001|1
312|AN Ahmed|JSCA International Stadium Complex|6.003750000000001|1
313|AN Ahmed|M Chinnaswamy Stadium|5.385000000000001|1
314|AN Ahmed|MA Chidambaram Stadium, Chepauk|4.7475000000000005|1
315|AN Ahmed|Rajiv Gandhi International Stadium, Uppal|5.066250000000001|1
316|AN Ahmed|Subrata Roy Sahara Stadium|7.87875|1
317|AN Ahmed|Wankhede Stadium|5.535000000000001|1
318|AP Dole|Sawai Mansingh Stadium|11.51325|1
319|AP Dole|Vidarbha Cricket Association Stadium, Jamtha|12.45075|1
320|AR Patel|Barabati Stadium|5.019749999999999|1
321|AR Patel|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|20.794999999999998|2
322|AR Patel|Dubai International Cricket Stadium|21.107499999999995|2
323|AR Patel|Eden Gardens|18.607499999999998|2
324|AR Patel|Feroz Shah Kotla|23.257499999999997|2
325|AR Patel|Holkar Cricket Stadium|19.432499999999997|2
326|AR Patel|M Chinnaswamy Stadium|7.644749999999999|1
327|AR Patel|M.Chinnaswamy Stadium|16.087749999999996|1
328|AR Patel|MA Chidambaram Stadium, Chepauk|22.982499999999995|2
329|AR Patel|Maharashtra Cricket Association Stadium|18.607499999999998|2
330|AR Patel|Punjab Cricket Association IS Bindra Stadium, Mohali|22.307499999999997|2
331|AR Patel|Punjab Cricket Association Stadium, Mohali|7.700999999999999|1
332|AR Patel|Rajiv Gandhi International Stadium, Uppal|17.669999999999998|2
333|AR Patel|Sardar Patel Stadium, Motera|8.769749999999998|1
334|AR Patel|Saurashtra Cricket Association Stadium|10.64475|1
335|AR Patel|Sawai Mansingh Stadium|13.900249999999998|1
336|AR Patel|Sharjah Cricket Stadium|21.732499999999998|2
337|AR Patel|Sheikh Zayed Stadium|21.294999999999998|2
338|AR Patel|Wankhede Stadium|21.263749999999998|2
339|AS Joseph|Rajiv Gandhi International Stadium, Uppal|55.82325|1
340|AS Joseph|Wankhede Stadium|29.573249999999998|1
341|AS Rajpoot|Dubai International Cricket Stadium|15.380749999999999|1
342|AS Rajpoot|Eden Gardens|20.25375|2
343|AS Rajpoot|Feroz Shah Kotla|21.94325|1
344|AS Rajpoot|Green Park|7.529249999999999|1
345|AS Rajpoot|Holkar Cricket Stadium|14.636999999999999|1
346|AS Rajpoot|M Chinnaswamy Stadium|5.65425|1
347|AS Rajpoot|M.Chinnaswamy Stadium|13.193249999999999|1
348|AS Rajpoot|MA Chidambaram Stadium, Chepauk|7.529249999999999|1
349|AS Rajpoot|Maharashtra Cricket Association Stadium|21.94325|1
350|AS Rajpoot|Punjab Cricket Association IS Bindra Stadium, Mohali|18.8475|2
351|AS Rajpoot|Punjab Cricket Association Stadium, Mohali|5.65425|1
352|AS Rajpoot|Rajiv Gandhi International Stadium, Uppal|35.06824999999999|1
353|AS Rajpoot|Sawai Mansingh Stadium|21.94325|1
354|AS Rajpoot|Sharjah Cricket Stadium|17.56825|1
355|AS Rajpoot|Sheikh Zayed Stadium|13.193249999999999|1
356|AS Rajpoot|Wankhede Stadium|28.847499999999997|2
357|AS Raut|De Beers Diamond Oval|0.0|1
358|AS Raut|OUTsurance Oval|0.0|1
359|AS Raut|Punjab Cricket Association Stadium, Mohali|0.0|1
360|AS Raut|St George's Park|0.0|1
361|AS Raut|SuperSport Park|0.0|1
362|AS Roy|MA Chidambaram Stadium, Chepauk|19.599999999999998|1
363|AUK Pathan|M Chinnaswamy Stadium|0.0|1
364|AUK Pathan|Nehru Stadium|0.0|1
365|Abdur Razzak|Sawai Mansingh Stadium|-0.6749999999999999|1
366|Abhishek Sharma|Dubai International Cricket Stadium|7.175|1
367|Abhishek Sharma|Rajiv Gandhi International Stadium, Uppal|7.175|1
368|Abhishek Sharma|Sheikh Zayed Stadium|4.9875|1
369|Anand Rajan|Barabati Stadium|7.5|1
370|Anand Rajan|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.625|1
371|Anand Rajan|Feroz Shah Kotla|7.5|1
372|Anand Rajan|Himachal Pradesh Cricket Association Stadium|7.5|1
373|Anand Rajan|M Chinnaswamy Stadium|7.5|1
374|Anand Rajan|Rajiv Gandhi International Stadium, Uppal|7.5|1
375|Anand Rajan|Sawai Mansingh Stadium|7.5|1
376|Anand Rajan|Wankhede Stadium|13.125|1
377|Ankit Sharma|Barabati Stadium|5.09025|1
378|Ankit Sharma|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|4.152749999999999|1
379|Ankit Sharma|Feroz Shah Kotla|3.2152499999999997|1
380|Ankit Sharma|JSCA International Stadium Complex|6.96525|1
381|Ankit Sharma|MA Chidambaram Stadium, Chepauk|4.152749999999999|1
382|Ankit Sharma|Maharashtra Cricket Association Stadium|3.2152499999999997|1
383|Ankit Sharma|Punjab Cricket Association IS Bindra Stadium, Mohali|5.09025|1
384|Ankit Sharma|Rajiv Gandhi International Stadium, Uppal|3.2152499999999997|1
385|Ankit Sharma|Sardar Patel Stadium, Motera|6.02775|1
386|Ankit Sharma|Saurashtra Cricket Association Stadium|3.2152499999999997|1
387|Ankit Sharma|Sawai Mansingh Stadium|10.7175|2
388|Ankit Sharma|Subrata Roy Sahara Stadium|5.09025|1
389|Ankit Sharma|Wankhede Stadium|5.09025|1
390|Ankit Soni|Feroz Shah Kotla|1.87425|1
391|Ankit Soni|Green Park|1.87425|1
392|Ankit Soni|M Chinnaswamy Stadium|5.624250000000001|1
393|Ankit Soni|Maharashtra Cricket Association Stadium|1.87425|1
394|Ankit Soni|Punjab Cricket Association IS Bindra Stadium, Mohali|1.87425|1
395|Ankit Soni|Saurashtra Cricket Association Stadium|5.624250000000001|1
396|Anureet Singh|Eden Gardens|20.9625|2
397|Anureet Singh|Feroz Shah Kotla|4.601249999999999|1
398|Anureet Singh|Holkar Cricket Stadium|15.111249999999998|1
399|Anureet Singh|M Chinnaswamy Stadium|4.601249999999999|1
400|Anureet Singh|MA Chidambaram Stadium, Chepauk|6.476249999999999|1
401|Anureet Singh|Maharashtra Cricket Association Stadium|7.732499999999999|1
402|Anureet Singh|Newlands|8.351249999999999|1
403|Anureet Singh|Punjab Cricket Association IS Bindra Stadium, Mohali|5.22|1
404|Anureet Singh|Punjab Cricket Association Stadium, Mohali|6.476249999999999|1
405|Anureet Singh|Rajiv Gandhi International Stadium, Uppal|4.601249999999999|1
406|Anureet Singh|Sardar Patel Stadium, Motera|6.476249999999999|1
407|Anureet Singh|Sawai Mansingh Stadium|15.111249999999998|1
408|Anureet Singh|SuperSport Park|4.601249999999999|1
409|Anureet Singh|Wankhede Stadium|8.351249999999999|1
410|Arshdeep Singh|Dubai International Cricket Stadium|20.299999999999997|1
411|Arshdeep Singh|Punjab Cricket Association IS Bindra Stadium, Mohali|15.924999999999999|1
412|Arshdeep Singh|Rajiv Gandhi International Stadium, Uppal|15.924999999999999|1
413|Arshdeep Singh|Sharjah Cricket Stadium|13.737499999999999|1
414|Arshdeep Singh|Sheikh Zayed Stadium|15.924999999999999|1
415|Avesh Khan|Dubai International Cricket Stadium|8.2005|1
416|Avesh Khan|Feroz Shah Kotla|17.965|2
417|Avesh Khan|Maharashtra Cricket Association Stadium|8.2005|1
418|Avesh Khan|Punjab Cricket Association IS Bindra Stadium, Mohali|8.2005|1
419|Avesh Khan|Rajiv Gandhi International Stadium, Uppal|8.2005|1
420|Azhar Mahmood|Brabourne Stadium|8.967|1
421|Azhar Mahmood|Eden Gardens|12.717|1
422|Azhar Mahmood|Feroz Shah Kotla|7.092|1
423|Azhar Mahmood|Himachal Pradesh Cricket Association Stadium|9.9045|1
424|Azhar Mahmood|M Chinnaswamy Stadium|11.7795|1
425|Azhar Mahmood|MA Chidambaram Stadium, Chepauk|12.717|1
426|Azhar Mahmood|Punjab Cricket Association Stadium, Mohali|9.51075|1
427|Azhar Mahmood|Rajiv Gandhi International Stadium, Uppal|8.0295|1
428|Azhar Mahmood|Sawai Mansingh Stadium|7.092|1
429|Azhar Mahmood|Subrata Roy Sahara Stadium|12.717|1
430|Azhar Mahmood|Wankhede Stadium|7.092|1
431|B Akhil|Dr DY Patil Sports Academy|2.5965|1
432|B Akhil|Kingsmead|2.5965|1
433|B Akhil|M Chinnaswamy Stadium|3.2152499999999997|1
434|B Akhil|MA Chidambaram Stadium, Chepauk|2.5965|1
435|B Akhil|Nehru Stadium|2.5965|1
436|B Akhil|New Wanderers Stadium|2.5965|1
437|B Akhil|Rajiv Gandhi International Stadium, Uppal|2.5965|1
438|B Akhil|St George's Park|4.4715|1
439|B Akhil|SuperSport Park|5.409|1
440|B Akhil|Wankhede Stadium|6.3465|1
441|B Chipli|Rajiv Gandhi International Stadium, Uppal|-0.6749999999999999|1
442|B Geeves|Feroz Shah Kotla|4.0125|1
