Player|venue|career_dream11_score
A Mishra|Shaheed Veer Narayan Singh International Stadium|8.05
A Mishra|Sharjah Cricket Stadium|29.27
A Mishra|Sheikh Zayed Stadium|34.34
A Mishra|St George's Park|9.3
A Mishra|Subrata Roy Sahara Stadium|14.3
A Mishra|SuperSport Park|11.91
A Mishra|Wankhede Stadium|10.7
A Mithun|Feroz Shah Kotla|11.01
A Mithun|Himachal Pradesh Cricket Association Stadium|8.76
A Mithun|JSCA International Stadium Complex|10.03
A Mithun|M Chinnaswamy Stadium|9.27
A Mithun|MA Chidambaram Stadium, Chepauk|8.83
A Mithun|Nehru Stadium|6.46
A Mithun|St George's Park|6.46
A Mithun|Wankhede Stadium|8.34
A Nehra|Barabati Stadium|10.73
A Nehra|Brabourne Stadium|11.67
A Nehra|Buffalo Park|12.61
A Nehra|Dr DY Patil Sports Academy|12.61
A Nehra|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|16.36
A Nehra|Eden Gardens|9.72
A Nehra|Feroz Shah Kotla|11.3
A Nehra|Himachal Pradesh Cricket Association Stadium|12.61
A Nehra|JSCA International Stadium Complex|14.48
A Nehra|Kingsmead|11.35
A Nehra|M Chinnaswamy Stadium|11.69
A Nehra|MA Chidambaram Stadium, Chepauk|11.83
A Nehra|New Wanderers Stadium|12.61
A Nehra|OUTsurance Oval|10.51
A Nehra|Punjab Cricket Association IS Bindra Stadium, Mohali|11.67
A Nehra|Punjab Cricket Association Stadium, Mohali|10.59
A Nehra|Rajiv Gandhi International Stadium, Uppal|10.47
A Nehra|Sardar Patel Stadium, Motera|8.86
A Nehra|Sawai Mansingh Stadium|12.99
A Nehra|Shaheed Veer Narayan Singh International Stadium|9.8
A Nehra|Sheikh Zayed Stadium|10.73
A Nehra|St George's Park|14.48
A Nehra|Subrata Roy Sahara Stadium|10.19
A Nehra|SuperSport Park|11.99
A Nehra|Wankhede Stadium|10.87
A Nel|Feroz Shah Kotla|6.82
A Singh|De Beers Diamond Oval|9.27
A Singh|Eden Gardens|8.41
A Singh|Feroz Shah Kotla|11.14
A Singh|Kingsmead|10.36
A Singh|M Chinnaswamy Stadium|11.14
A Singh|MA Chidambaram Stadium, Chepauk|7.39
A Singh|OUTsurance Oval|6.54
A Singh|Rajiv Gandhi International Stadium, Uppal|13.02
A Singh|Sawai Mansingh Stadium|8.49
A Singh|SuperSport Park|14.89
A Singh|Wankhede Stadium|9.35
A Symonds|Barabati Stadium|23.5
A Symonds|Brabourne Stadium|18.02
A Symonds|De Beers Diamond Oval|19.82
A Symonds|Dr DY Patil Sports Academy|17.33
A Symonds|Eden Gardens|21.21
A Symonds|Feroz Shah Kotla|20.5
A Symonds|Himachal Pradesh Cricket Association Stadium|16.75
A Symonds|Kingsmead|21.4
A Symonds|M Chinnaswamy Stadium|22.3
A Symonds|MA Chidambaram Stadium, Chepauk|23.95
A Symonds|New Wanderers Stadium|22.1
A Symonds|Rajiv Gandhi International Stadium, Uppal|20.77
A Symonds|Sardar Patel Stadium, Motera|19.97
A Symonds|SuperSport Park|19.9
A Symonds|Vidarbha Cricket Association Stadium, Jamtha|19.23
A Symonds|Wankhede Stadium|18.33
A Symonds|Punjab Cricket Association Stadium, Mohali|13.3
A Symonds|Sawai Mansingh Stadium|13.97
A Uniyal|Brabourne Stadium|10.12
A Uniyal|Sardar Patel Stadium, Motera|4.8
A Zampa|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|16.06
A Zampa|Dubai International Cricket Stadium|27.81
A Zampa|Eden Gardens|10.04
A Zampa|Feroz Shah Kotla|11.92
A Zampa|M Chinnaswamy Stadium|13.79
A Zampa|Maharashtra Cricket Association Stadium|12.69
A Zampa|Rajiv Gandhi International Stadium, Uppal|13.79
A Zampa|Sheikh Zayed Stadium|25.62
A Zampa|Wankhede Stadium|10.04
AA Chavan|Eden Gardens|6.55
AA Chavan|Feroz Shah Kotla|7.49
AA Chavan|Holkar Cricket Stadium|6.74
AA Chavan|Punjab Cricket Association Stadium, Mohali|5.61
AA Chavan|Sawai Mansingh Stadium|9.53
AA Chavan|Subrata Roy Sahara Stadium|5.61
AA Chavan|Wankhede Stadium|7.58
AA Jhunjhunwala|Brabourne Stadium|9.61
AA Jhunjhunwala|Dr DY Patil Sports Academy|9.31
AA Jhunjhunwala|MA Chidambaram Stadium, Chepauk|9.79
AA Jhunjhunwala|Punjab Cricket Association Stadium, Mohali|8.56
AA Jhunjhunwala|Rajiv Gandhi International Stadium, Uppal|9.98
AA Jhunjhunwala|Sardar Patel Stadium, Motera|11.28
AA Jhunjhunwala|Sawai Mansingh Stadium|9.87
AA Jhunjhunwala|Feroz Shah Kotla|8.22
AA Jhunjhunwala|M Chinnaswamy Stadium|8.37
AA Jhunjhunwala|Vidarbha Cricket Association Stadium, Jamtha|8.82
AA Kazi|Sawai Mansingh Stadium|1.2
AA Noffke|M Chinnaswamy Stadium|9.75
AB Agarkar|Buffalo Park|6.81
AB Agarkar|Eden Gardens|8.74
AB Agarkar|Feroz Shah Kotla|8.69
AB Agarkar|Kingsmead|10.24
AB Agarkar|M Chinnaswamy Stadium|10.29
AB Agarkar|MA Chidambaram Stadium, Chepauk|9.04
AB Agarkar|Nehru Stadium|8.68
AB Agarkar|New Wanderers Stadium|10.89
AB Agarkar|Newlands|7.33
AB Agarkar|Punjab Cricket Association Stadium, Mohali|8.98
AB Agarkar|Rajiv Gandhi International Stadium, Uppal|8.68
AB Agarkar|Sawai Mansingh Stadium|9.47
AB Agarkar|St George's Park|6.81
AB Agarkar|SuperSport Park|5.87
AB Agarkar|Wankhede Stadium|9.73
AB Dinda|Buffalo Park|8.0
AB Dinda|Dr DY Patil Sports Academy|9.88
AB Dinda|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|8.62
AB Dinda|Dubai International Cricket Stadium|7.69
AB Dinda|Eden Gardens|8.15
AB Dinda|Feroz Shah Kotla|7.07
AB Dinda|Holkar Cricket Stadium|8.0
AB Dinda|Kingsmead|7.38
AB Dinda|M Chinnaswamy Stadium|7.8
AB Dinda|MA Chidambaram Stadium, Chepauk|7.38
AB Dinda|Maharashtra Cricket Association Stadium|8.53
AB Dinda|Newlands|9.56
AB Dinda|Punjab Cricket Association Stadium, Mohali|6.75
AB Dinda|Rajiv Gandhi International Stadium, Uppal|9.88
AB Dinda|Sardar Patel Stadium, Motera|9.88
AB Dinda|Sawai Mansingh Stadium|6.68
AB Dinda|Shaheed Veer Narayan Singh International Stadium|11.75
AB Dinda|Sharjah Cricket Stadium|6.13
AB Dinda|Sheikh Zayed Stadium|5.66
AB Dinda|St George's Park|5.66
AB Dinda|Subrata Roy Sahara Stadium|8.11
AB Dinda|SuperSport Park|8.0
AB Dinda|Wankhede Stadium|8.91
AB McDonald|Brabourne Stadium|14.09
AB McDonald|Feroz Shah Kotla|13.6
AB McDonald|M Chinnaswamy Stadium|14.56
AB McDonald|MA Chidambaram Stadium, Chepauk|10.34
AB McDonald|New Wanderers Stadium|9.96
AB McDonald|Punjab Cricket Association Stadium, Mohali|14.09
AC Gilchrist|Himachal Pradesh Cricket Association Stadium|27.98
AC Gilchrist|Barabati Stadium|18.5
AC Gilchrist|Brabourne Stadium|17.79
AC Gilchrist|Buffalo Park|16.36
AC Gilchrist|De Beers Diamond Oval|17.49
AC Gilchrist|Dr DY Patil Sports Academy|18.65
AC Gilchrist|Eden Gardens|17.71
AC Gilchrist|Feroz Shah Kotla|17.71
AC Gilchrist|Holkar Cricket Stadium|17.04
AC Gilchrist|Kingsmead|19.94
AC Gilchrist|M Chinnaswamy Stadium|18.75
AC Gilchrist|MA Chidambaram Stadium, Chepauk|19.81
AC Gilchrist|New Wanderers Stadium|18.01
AC Gilchrist|Newlands|19.51
AC Gilchrist|Punjab Cricket Association Stadium, Mohali|18.1
AC Gilchrist|Rajiv Gandhi International Stadium, Uppal|18.05
AC Gilchrist|Sardar Patel Stadium, Motera|16.44
AC Gilchrist|Sawai Mansingh Stadium|18.56
AC Gilchrist|St George's Park|19.29
AC Gilchrist|Subrata Roy Sahara Stadium|17.15
AC Gilchrist|SuperSport Park|18.86
AC Gilchrist|Vidarbha Cricket Association Stadium, Jamtha|17.39
AC Gilchrist|Wankhede Stadium|16.36
AC Thomas|Dr DY Patil Sports Academy|9.04
AC Thomas|Feroz Shah Kotla|10.29
AC Thomas|M Chinnaswamy Stadium|11.23
AC Thomas|MA Chidambaram Stadium, Chepauk|12.65
AC Thomas|Sawai Mansingh Stadium|9.35
AC Thomas|Subrata Roy Sahara Stadium|10.8
AC Thomas|Wankhede Stadium|10.7
AC Voges|Eden Gardens|8.08
AC Voges|Feroz Shah Kotla|8.61
AC Voges|Punjab Cricket Association Stadium, Mohali|10.86
AC Voges|Sardar Patel Stadium, Motera|10.24
AC Voges|Sawai Mansingh Stadium|9.58
AD Mascarenhas|Brabourne Stadium|17.43
AD Mascarenhas|Eden Gardens|14.88
AD Mascarenhas|Newlands|16.27
AD Mascarenhas|Punjab Cricket Association Stadium, Mohali|18.37
AD Mascarenhas|Rajiv Gandhi International Stadium, Uppal|13.38
AD Mascarenhas|Sardar Patel Stadium, Motera|16.98
AD Mascarenhas|Sawai Mansingh Stadium|17.43
AD Mascarenhas|Subrata Roy Sahara Stadium|15.25
AD Mascarenhas|SuperSport Park|15.48
AD Mathews|Brabourne Stadium|13.32
AD Mathews|Dr DY Patil Sports Academy|18.42
AD Mathews|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|14.67
AD Mathews|Eden Gardens|15.17
AD Mathews|Feroz Shah Kotla|13.49
AD Mathews|JSCA International Stadium Complex|8.96
AD Mathews|M Chinnaswamy Stadium|13.85
AD Mathews|MA Chidambaram Stadium, Chepauk|14.48
AD Mathews|Maharashtra Cricket Association Stadium|14.0
AD Mathews|Punjab Cricket Association Stadium, Mohali|14.67
AD Mathews|Rajiv Gandhi International Stadium, Uppal|13.13
AD Mathews|Sardar Patel Stadium, Motera|7.08
AD Mathews|Sawai Mansingh Stadium|15.08
AD Mathews|Subrata Roy Sahara Stadium|14.11
AD Mathews|SuperSport Park|12.87
AD Mathews|Wankhede Stadium|13.77
AD Russell|Brabourne Stadium|26.2
AD Russell|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|21.1
AD Russell|Eden Gardens|65.27
AD Russell|Feroz Shah Kotla|68.72
AD Russell|Himachal Pradesh Cricket Association Stadium|10.04
AD Russell|Holkar Cricket Stadium|56.01
AD Russell|JSCA International Stadium Complex|19.75
AD Russell|M Chinnaswamy Stadium|22.83
AD Russell|M.Chinnaswamy Stadium|48.22
AD Russell|MA Chidambaram Stadium, Chepauk|66.9
AD Russell|Maharashtra Cricket Association Stadium|22.79
AD Russell|Punjab Cricket Association IS Bindra Stadium, Mohali|51.13
AD Russell|Rajiv Gandhi International Stadium, Uppal|58.08
AD Russell|Sardar Patel Stadium, Motera|19.75
AD Russell|Sharjah Cricket Stadium|46.56
AD Russell|Sheikh Zayed Stadium|42.32
AD Russell|Wankhede Stadium|58.26
AD Russell|Dubai International Cricket Stadium|29.84
AF Milne|M Chinnaswamy Stadium|17.05
AF Milne|Maharashtra Cricket Association Stadium|13.52
AF Milne|Saurashtra Cricket Association Stadium|15.18
AF Milne|Wankhede Stadium|13.15
AG Murtaza|Brabourne Stadium|10.3
AG Murtaza|Eden Gardens|6.55
AG Murtaza|Feroz Shah Kotla|12.17
AG Murtaza|JSCA International Stadium Complex|6.55
AG Murtaza|M Chinnaswamy Stadium|7.07
AG Murtaza|Sawai Mansingh Stadium|6.85
AG Murtaza|Subrata Roy Sahara Stadium|9.74
AG Murtaza|Wankhede Stadium|8.42
AJ Finch|Eden Gardens|13.09
AJ Finch|Feroz Shah Kotla|29.73
AJ Finch|M Chinnaswamy Stadium|13.46
AJ Finch|MA Chidambaram Stadium, Chepauk|16.38
AJ Finch|Wankhede Stadium|40.03
AJ Finch|Dr DY Patil Sports Academy|12.1
AJ Finch|Dubai International Cricket Stadium|34.63
AJ Finch|Green Park|12.04
AJ Finch|Holkar Cricket Stadium|25.12
AJ Finch|JSCA International Stadium Complex|12.29
AJ Finch|M.Chinnaswamy Stadium|19.87
AJ Finch|Maharashtra Cricket Association Stadium|28.78
AJ Finch|Punjab Cricket Association IS Bindra Stadium, Mohali|31.18
AJ Finch|Punjab Cricket Association Stadium, Mohali|15.03
AJ Finch|Rajiv Gandhi International Stadium, Uppal|30.23
AJ Finch|Sardar Patel Stadium, Motera|10.94
AJ Finch|Saurashtra Cricket Association Stadium|11.49
AJ Finch|Sawai Mansingh Stadium|12.33
AJ Finch|Shaheed Veer Narayan Singh International Stadium|13.0
AJ Finch|Sharjah Cricket Stadium|35.34
AJ Finch|Sheikh Zayed Stadium|30.53
AJ Finch|Subrata Roy Sahara Stadium|12.12
AJ Tye|Eden Gardens|29.52
AJ Tye|Feroz Shah Kotla|36.56
AJ Tye|Holkar Cricket Stadium|37.26
AJ Tye|M Chinnaswamy Stadium|16.87
AJ Tye|M.Chinnaswamy Stadium|37.26
AJ Tye|MA Chidambaram Stadium, Chepauk|22.96
AJ Tye|Maharashtra Cricket Association Stadium|27.29
AJ Tye|Punjab Cricket Association IS Bindra Stadium, Mohali|31.92
AJ Tye|Rajiv Gandhi International Stadium, Uppal|27.99
AJ Tye|Saurashtra Cricket Association Stadium|17.71
AJ Tye|Sawai Mansingh Stadium|49.34
AJ Tye|Sharjah Cricket Stadium|37.09
AJ Tye|Wankhede Stadium|52.99
AL Menaria|Eden Gardens|10.29
AL Menaria|MA Chidambaram Stadium, Chepauk|9.02
AL Menaria|Punjab Cricket Association Stadium, Mohali|10.14
AL Menaria|Rajiv Gandhi International Stadium, Uppal|9.09
AL Menaria|Sawai Mansingh Stadium|9.36
AL Menaria|Wankhede Stadium|9.09
AL Menaria|Feroz Shah Kotla|6.26
AL Menaria|Holkar Cricket Stadium|8.51
AL Menaria|Subrata Roy Sahara Stadium|7.54
AM Nayar|Buffalo Park|11.1
AM Nayar|Dr DY Patil Sports Academy|10.48
AM Nayar|Feroz Shah Kotla|10.73
AM Nayar|M Chinnaswamy Stadium|8.48
AM Nayar|MA Chidambaram Stadium, Chepauk|10.8
AM Nayar|New Wanderers Stadium|10.35
AM Nayar|Punjab Cricket Association Stadium, Mohali|8.39
AM Nayar|Rajiv Gandhi International Stadium, Uppal|10.87
AM Nayar|Sawai Mansingh Stadium|9.49
AM Nayar|Shaheed Veer Narayan Singh International Stadium|6.54
AM Nayar|St George's Park|15.15
AM Nayar|Subrata Roy Sahara Stadium|8.97
AM Nayar|SuperSport Park|8.37
AM Nayar|Wankhede Stadium|9.43
AM Nayar|Dubai International Cricket Stadium|5.89
AM Nayar|Eden Gardens|5.51
AM Nayar|Himachal Pradesh Cricket Association Stadium|5.74
AM Nayar|Kingsmead|7.01
AM Nayar|Newlands|8.14
AM Nayar|Sharjah Cricket Stadium|7.24
AM Nayar|Sheikh Zayed Stadium|6.08
AM Rahane|SuperSport Park|22.55
AM Rahane|Brabourne Stadium|14.96
AM Rahane|Buffalo Park|12.39
AM Rahane|Dr DY Patil Sports Academy|11.56
AM Rahane|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|13.87
AM Rahane|Dubai International Cricket Stadium|32.58
AM Rahane|Eden Gardens|36.19
AM Rahane|Feroz Shah Kotla|33.19
AM Rahane|Holkar Cricket Stadium|32.03
AM Rahane|JSCA International Stadium Complex|11.86
AM Rahane|Kingsmead|11.79
AM Rahane|M Chinnaswamy Stadium|15.24
AM Rahane|M.Chinnaswamy Stadium|28.48
AM Rahane|MA Chidambaram Stadium, Chepauk|31.23
AM Rahane|Maharashtra Cricket Association Stadium|35.18
AM Rahane|New Wanderers Stadium|11.56
AM Rahane|Punjab Cricket Association IS Bindra Stadium, Mohali|35.37
AM Rahane|Punjab Cricket Association Stadium, Mohali|13.74
AM Rahane|Rajiv Gandhi International Stadium, Uppal|38.66
AM Rahane|Sardar Patel Stadium, Motera|14.86
AM Rahane|Saurashtra Cricket Association Stadium|12.35
AM Rahane|Sawai Mansingh Stadium|38.03
AM Rahane|Sharjah Cricket Stadium|32.52
AM Rahane|Sheikh Zayed Stadium|38.37
AM Rahane|St George's Park|16.21
AM Rahane|Subrata Roy Sahara Stadium|12.69
AM Rahane|Wankhede Stadium|39.37
AM Salvi|Himachal Pradesh Cricket Association Stadium|11.66
AM Salvi|Kingsmead|7.92
AM Salvi|New Wanderers Stadium|7.92
AM Salvi|Newlands|9.79
AM Salvi|OUTsurance Oval|11.66
AM Salvi|Rajiv Gandhi International Stadium, Uppal|9.79
AM Salvi|SuperSport Park|9.79
AN Ahmed|Eden Gardens|10.64
AN Ahmed|JSCA International Stadium Complex|9.31
AN Ahmed|M Chinnaswamy Stadium|8.58
AN Ahmed|MA Chidambaram Stadium, Chepauk|8.58
AN Ahmed|Rajiv Gandhi International Stadium, Uppal|6.01
AN Ahmed|Subrata Roy Sahara Stadium|8.82
AN Ahmed|Wankhede Stadium|6.48
AP Dole|Sawai Mansingh Stadium|24.49
AP Dole|Vidarbha Cricket Association Stadium, Jamtha|23.48
AR Patel|Barabati Stadium|12.3
AR Patel|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|36.15
AR Patel|Dubai International Cricket Stadium|35.05
AR Patel|Eden Gardens|26.38
AR Patel|Feroz Shah Kotla|42.72
AR Patel|Holkar Cricket Stadium|37.34
AR Patel|M Chinnaswamy Stadium|16.59
AR Patel|M.Chinnaswamy Stadium|28.28
AR Patel|MA Chidambaram Stadium, Chepauk|40.25
AR Patel|Maharashtra Cricket Association Stadium|37.22
AR Patel|Punjab Cricket Association IS Bindra Stadium, Mohali|30.1
AR Patel|Punjab Cricket Association Stadium, Mohali|16.03
AR Patel|Rajiv Gandhi International Stadium, Uppal|36.59
AR Patel|Sardar Patel Stadium, Motera|16.87
AR Patel|Saurashtra Cricket Association Stadium|19.12
AR Patel|Sawai Mansingh Stadium|27.14
AR Patel|Sharjah Cricket Stadium|36.72
AR Patel|Sheikh Zayed Stadium|37.88
AR Patel|Wankhede Stadium|38.93
AS Joseph|Rajiv Gandhi International Stadium, Uppal|58.49
AS Joseph|Wankhede Stadium|39.33
AS Rajpoot|Dubai International Cricket Stadium|18.6
AS Rajpoot|Eden Gardens|21.82
AS Rajpoot|Feroz Shah Kotla|23.51
AS Rajpoot|Green Park|9.1
AS Rajpoot|Holkar Cricket Stadium|16.8
AS Rajpoot|M Chinnaswamy Stadium|7.7
AS Rajpoot|M.Chinnaswamy Stadium|14.76
AS Rajpoot|MA Chidambaram Stadium, Chepauk|9.43
AS Rajpoot|Maharashtra Cricket Association Stadium|24.28
AS Rajpoot|Punjab Cricket Association IS Bindra Stadium, Mohali|20.42
AS Rajpoot|Punjab Cricket Association Stadium, Mohali|7.22
AS Rajpoot|Rajiv Gandhi International Stadium, Uppal|38.46
AS Rajpoot|Sawai Mansingh Stadium|23.51
AS Rajpoot|Sharjah Cricket Stadium|19.14
AS Rajpoot|Sheikh Zayed Stadium|15.53
AS Rajpoot|Wankhede Stadium|30.42
AS Raut|De Beers Diamond Oval|7.3
AS Raut|OUTsurance Oval|7.82
AS Raut|Punjab Cricket Association Stadium, Mohali|8.87
AS Raut|St George's Park|9.7
AS Raut|SuperSport Park|3.82
AS Raut|Eden Gardens|7.48
AS Raut|Kingsmead|7.07
AS Raut|MA Chidambaram Stadium, Chepauk|7.15
AS Raut|Newlands|7.82
AS Raut|Sawai Mansingh Stadium|8.42
AS Raut|Vidarbha Cricket Association Stadium, Jamtha|7.0
AS Roy|MA Chidambaram Stadium, Chepauk|19.6
AUK Pathan|M Chinnaswamy Stadium|4.49
AUK Pathan|Nehru Stadium|5.28
AUK Pathan|Himachal Pradesh Cricket Association Stadium|4.9
AUK Pathan|MA Chidambaram Stadium, Chepauk|5.43
Abdur Razzak|Sawai Mansingh Stadium|-1.35
Abhishek Sharma|Dubai International Cricket Stadium|23.88
Abhishek Sharma|Rajiv Gandhi International Stadium, Uppal|21.57
Abhishek Sharma|Sheikh Zayed Stadium|19.03
Abhishek Sharma|Feroz Shah Kotla|17.46
Abhishek Sharma|Sharjah Cricket Stadium|15.36
Abhishek Sharma|Wankhede Stadium|14.13
Anand Rajan|Barabati Stadium|11.0
Anand Rajan|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|9.12
Anand Rajan|Feroz Shah Kotla|11.0
Anand Rajan|Himachal Pradesh Cricket Association Stadium|11.0
Anand Rajan|M Chinnaswamy Stadium|11.0
Anand Rajan|Rajiv Gandhi International Stadium, Uppal|11.0
Anand Rajan|Sawai Mansingh Stadium|11.0
Anand Rajan|Wankhede Stadium|16.62
Ankit Sharma|Barabati Stadium|9.15
Ankit Sharma|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|8.73
Ankit Sharma|Feroz Shah Kotla|7.27
Ankit Sharma|JSCA International Stadium Complex|13.2
Ankit Sharma|MA Chidambaram Stadium, Chepauk|8.13
Ankit Sharma|Maharashtra Cricket Association Stadium|7.57
Ankit Sharma|Punjab Cricket Association IS Bindra Stadium, Mohali|6.73
Ankit Sharma|Rajiv Gandhi International Stadium, Uppal|4.86
Ankit Sharma|Sardar Patel Stadium, Motera|10.31
Ankit Sharma|Saurashtra Cricket Association Stadium|9.07
Ankit Sharma|Sawai Mansingh Stadium|12.36
Ankit Sharma|Subrata Roy Sahara Stadium|6.73
Ankit Sharma|Wankhede Stadium|6.73
Ankit Soni|Feroz Shah Kotla|3.01
Ankit Soni|Green Park|2.79
Ankit Soni|M Chinnaswamy Stadium|6.76
Ankit Soni|Maharashtra Cricket Association Stadium|2.79
Ankit Soni|Punjab Cricket Association IS Bindra Stadium, Mohali|3.01
Ankit Soni|Saurashtra Cricket Association Stadium|7.06
Anureet Singh|Eden Gardens|24.25
Anureet Singh|Feroz Shah Kotla|7.48
Anureet Singh|Holkar Cricket Stadium|17.02
Anureet Singh|M Chinnaswamy Stadium|6.88
Anureet Singh|MA Chidambaram Stadium, Chepauk|9.5
Anureet Singh|Maharashtra Cricket Association Stadium|10.01
Anureet Singh|Newlands|10.26
Anureet Singh|Punjab Cricket Association IS Bindra Stadium, Mohali|8.62
Anureet Singh|Punjab Cricket Association Stadium, Mohali|8.75
Anureet Singh|Rajiv Gandhi International Stadium, Uppal|6.51
Anureet Singh|Sardar Patel Stadium, Motera|8.39
Anureet Singh|Sawai Mansingh Stadium|17.02
Anureet Singh|SuperSport Park|6.51
Anureet Singh|Wankhede Stadium|10.26
Arshdeep Singh|Dubai International Cricket Stadium|18.72
Arshdeep Singh|Punjab Cricket Association IS Bindra Stadium, Mohali|15.92
Arshdeep Singh|Rajiv Gandhi International Stadium, Uppal|15.92
Arshdeep Singh|Sharjah Cricket Stadium|13.74
Arshdeep Singh|Sheikh Zayed Stadium|15.92
Avesh Khan|Dubai International Cricket Stadium|12.7
Avesh Khan|Feroz Shah Kotla|22.46
Avesh Khan|Maharashtra Cricket Association Stadium|12.7
Avesh Khan|Punjab Cricket Association IS Bindra Stadium, Mohali|17.08
Avesh Khan|Rajiv Gandhi International Stadium, Uppal|12.7
Azhar Mahmood|Brabourne Stadium|17.67
Azhar Mahmood|Eden Gardens|21.12
Azhar Mahmood|Feroz Shah Kotla|16.02
Azhar Mahmood|Himachal Pradesh Cricket Association Stadium|20.67
Azhar Mahmood|M Chinnaswamy Stadium|22.39
Azhar Mahmood|MA Chidambaram Stadium, Chepauk|22.32
Azhar Mahmood|Punjab Cricket Association Stadium, Mohali|18.96
Azhar Mahmood|Rajiv Gandhi International Stadium, Uppal|16.96
Azhar Mahmood|Sawai Mansingh Stadium|17.07
Azhar Mahmood|Subrata Roy Sahara Stadium|15.85
Azhar Mahmood|Wankhede Stadium|16.06
B Akhil|Dr DY Patil Sports Academy|4.47
B Akhil|Kingsmead|6.8
B Akhil|M Chinnaswamy Stadium|7.6
B Akhil|MA Chidambaram Stadium, Chepauk|7.25
B Akhil|Nehru Stadium|7.77
B Akhil|New Wanderers Stadium|4.47
B Akhil|Rajiv Gandhi International Stadium, Uppal|8.82
B Akhil|St George's Park|9.27
B Akhil|SuperSport Park|7.28
B Akhil|Wankhede Stadium|10.77
B Akhil|Newlands|4.88
B Chipli|Rajiv Gandhi International Stadium, Uppal|5.42
B Chipli|Dr DY Patil Sports Academy|5.21
B Chipli|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.24
B Chipli|Eden Gardens|8.43
B Chipli|Feroz Shah Kotla|5.96
B Chipli|M Chinnaswamy Stadium|5.33
